id,voter,author,permlink,weight,value,timestamp
NULL,abir-hasan,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,vannour,cryptopuzzles,bitcoinhaus-v-4-inventory-update-2-3-2019,75,0,2019-02-03 11:15:39
NULL,phototalent,reinikaerrant,i-was-in-the-shower-when-i-decided-to-take-some-pictures,10000,0,2019-02-03 11:15:39
NULL,vortac,cryptopuzzles,bitcoinhaus-v-4-inventory-update-2-3-2019,15,0,2019-02-03 11:15:39
NULL,nairesc,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,barbivicotoria,niel96,fkqen96qq,5000,0,2019-02-03 11:15:39
NULL,upvoteinvest,boddhisattva,water-lily-5d79e178a621cest,10000,0,2019-02-03 11:15:39
NULL,sanjij,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,choogirl,scrawly,noblesse-rael-kertia-coloured,1000,0,2019-02-03 11:15:39
NULL,helpie,scrawly,noblesse-rael-kertia-coloured,300,0,2019-02-03 11:15:39
NULL,supersoju,scrawly,noblesse-rael-kertia-coloured,6500,0,2019-02-03 11:15:39
NULL,maynou,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,fardiani,scrawly,noblesse-rael-kertia-coloured,10000,0,2019-02-03 11:15:39
NULL,ralph75,qkr1066,re-haejin-yen-usd-pair-20190128t224157366z,10000,0,2019-02-03 11:15:39
NULL,tcpolymath,scrawly,noblesse-rael-kertia-coloured,10000,0,2019-02-03 11:15:39
NULL,solar,scrawly,noblesse-rael-kertia-coloured,2500,0,2019-02-03 11:15:39
NULL,liomerciz,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,shadowolfdg,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,kudiny,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,youtube1,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,nebula-ai,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,5000,0,2019-02-03 11:15:39
NULL,roldking,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,zanetaviz,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,bartheek,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,ririekhayan,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,jahee,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,mcoinz79,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,100,0,2019-02-03 11:15:39
NULL,jreng,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,darjo-game,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,ngieng,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,5000,0,2019-02-03 11:15:39
NULL,cpok,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,4500,0,2019-02-03 11:15:39
NULL,rup883,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,10000,0,2019-02-03 11:15:39
NULL,pedrobrito2004,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,najitaq,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,6000,0,2019-02-03 11:15:39
NULL,miggyfr,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,mrsaladd,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,vishalhkothari,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,treodecimo,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,8000,0,2019-02-03 11:15:39
NULL,pixelfan,ackhoo,re-pixresteemer-20190203t100648269z-20190203t105921770z,940,0,2019-02-03 11:15:39
NULL,hanna.mike,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,haiyangdeperci,woolgom,jh4q4,2000,0,2019-02-03 11:15:39
NULL,awey,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,batir,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,elbrusgases,donald.porter,chart-of-the-day-xy-oracle-usdxyo,1800,0,2019-02-03 11:15:39
NULL,merlin7,purepinay,lazy-but-not-lazy-ixb7lopo,20,0,2019-02-03 11:15:39
NULL,mazharul-islam,gentlee-boy,another-natural-photography-zg1hbmlh-djmcp,10000,0,2019-02-03 11:15:39
NULL,devtech,niel96,fkqen96qq,10000,0,2019-02-03 11:15:39
NULL,esvedra,steemengineteam,philippines-its-time-to-hop-aboard-the-steemengine-2019-02-03,10000,0,2019-02-03 11:15:39
NULL,sarah.sweet,dune69,actifit-dune69-20190202t184641677z,10000,0,2019-02-03 11:15:39
NULL,danieldoughty,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,5000,0,2019-02-03 11:15:39
NULL,novus,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,500,0,2019-02-03 11:15:39
NULL,tafcovic05,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,sinzzer,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,d3365a1b,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,vandigital,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,6000,0,2019-02-03 11:15:39
NULL,seventrust,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,arlans,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,10000,0,2019-02-03 11:15:39
NULL,plieku,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,7100,0,2019-02-03 11:15:39
NULL,doctormizan52,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
NULL,faraicelebr8,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,5000,0,2019-02-03 11:15:39
NULL,blairbitz,mrhadziq,mrhadziq-1549191565479-mrhadziqs-twitter-feed--20190203-115925,1000,0,2019-02-03 11:15:39
